Trade ID,Order ID,Client ID,ISIN,Symbol,Trade Type,Quantity,Price,Trade Value,Currency,Trade Date,Settlement Date,Settlement Status,Counterparty,Trading Venue,Trader Name,KYC Status,Reference Data Validated,Commission,Taxes,Total Cost,Confirmation Status,Country of Trade,Ops Team Notes,Pricing Source,Market Impact Cost,FX Rate Applied,Net Amount,Collateral Required,Margin Type,Margin Status
TID00001,OID00001,CID5962,US240362447,TSLA,Buy,942,721.36,679521.12,USD,1/24/2024,1/26/2024,Pending,Citibank,IEX,Trader A,Pending,No,679.52,1359.04,681559.68,Failed,US,Clean,Bloomberg,1.18,1.0442,670513.59,33976.06,Variation,Pending
TID00002,OID00002,CID2693,US511561515,BABA,Sell,916,742.23,679882.68,GBP,1/18/2024,1/20/2024,Confirmed,Goldman Sachs,IEX,Trader A,Failed,No,679.88,1359.77,681922.33,Settled,UK,Escalated,Bloomberg,4.94,0.8749,679457.62,33994.13,Variation,Satisfied
TID00003,OID00003,CID5299,US203344163,ADBE,Sell,928,1253,1162784,EUR,3/31/2024,4/2/2024,Pending,Morgan Stanley,BATS,Trader D,Pending,Yes,1162.78,2325.57,1166272.35,Failed,DE,Reviewed,ICE,4.88,0.9645,1149346.37,58139.2,Variation,Pending
TID00004,OID00004,CID4233,US918886777,NFLX,Sell,528,722.5,381480,USD,2/10/2024,2/12/2024,Settled,Citibank,NASDAQ,Trader B,Pending,No,381.48,762.96,382624.44,Failed,US,Reviewed,ICE,0.73,1.0119,389031.87,19074,Variation,Pending
TID00005,OID00005,CID7506,US403557069,NFLX,Buy,623,1165.74,726256.02,GBP,1/20/2024,1/22/2024,Settled,Citibank,NASDAQ,Trader C,Completed,Yes,726.26,1452.51,728434.79,Confirmed,US,Reviewed,Bloomberg,3.28,1.0459,721848.39,36312.8,Initial,Failed
TID00006,OID00006,CID1598,US182199097,GOOGL,Sell,514,707.02,363408.28,USD,2/18/2024,2/20/2024,Failed,Citibank,NYSE,Trader C,Failed,Yes,363.41,726.82,364498.5,Confirmed,US,Reviewed,ICE,4.65,0.8263,362824.16,18170.41,Initial,Pending
TID00007,OID00007,CID8072,US792919549,AMZN,Buy,121,1228.6,148660.6,GBP,2/18/2024,2/20/2024,Failed,Morgan Stanley,NASDAQ,Trader A,Completed,Yes,148.66,297.32,149106.58,Confirmed,DE,Escalated,ICE,1.36,0.9403,148658.45,7433.03,Variation,Satisfied
TID00008,OID00008,CID7079,US951500830,NVDA,Sell,730,1335.37,974820.1,EUR,4/3/2024,4/5/2024,Failed,JPMorgan,BATS,Trader A,Pending,Yes,974.82,1949.64,977744.56,Settled,US,Escalated,Bloomberg,1.32,0.9066,961593.25,48741.01,Variation,Failed
TID00009,OID00009,CID8079,US374814619,ADBE,Sell,386,1196.81,461968.66,USD,2/17/2024,2/19/2024,Confirmed,JPMorgan,NASDAQ,Trader C,Pending,Yes,461.97,923.94,463354.57,Failed,US,Clean,Bloomberg,1.39,0.837,470714.71,23098.43,Variation,Satisfied
TID00010,OID00010,CID3450,US736755554,AAPL,Sell,629,1057.79,665349.91,GBP,1/24/2024,1/26/2024,Pending,Citibank,BATS,Trader A,Pending,No,665.35,1330.7,667345.96,Pending,UK,Manual Check,Bloomberg,1.69,0.9109,653318.56,33267.5,Variation,Failed
TID00011,OID00011,CID1825,US463101969,AAPL,Buy,176,1009.04,177591.04,EUR,2/27/2024,2/29/2024,Settled,JPMorgan,NASDAQ,Trader D,Failed,Yes,177.59,355.18,178123.81,Confirmed,DE,Reviewed,Bloomberg,0.25,0.9542,179796.18,8879.55,Variation,Pending
TID00012,OID00012,CID5493,US138859211,BABA,Sell,859,1354.3,1163343.7,EUR,3/28/2024,3/30/2024,Pending,Citibank,NASDAQ,Trader A,Completed,No,1163.34,2326.69,1166833.73,Failed,DE,Escalated,ICE,3.42,0.9803,1165620.78,58167.18,Variation,Pending
